auroc,auprc
0.916528837,0.496872774
0.916355254,0.496364642
0.916182931,0.495854068
0.916010764,0.495345167
0.915836168,0.494838145
0.915661726,0.49433144
0.915487228,0.493822588
0.915313527,0.493311944
0.915139389,0.492797943
0.914963594,0.492289252
0.914788343,0.491780885
0.914612071,0.49127433
0.914435662,0.490764288
0.914260022,0.490263225
0.914083078,0.489757355
0.913908169,0.489253703
0.913730071,0.488747561
0.913552806,0.488242411
0.913373283,0.487729155
0.913194357,0.487212377
0.913014884,0.486695508
0.912835866,0.486185821
0.912657525,0.485677823
0.912477955,0.485169423
0.912297976,0.484653487
0.912116379,0.484144707
0.91193491,0.483635291
0.911752688,0.483120842
0.911571701,0.482613087
0.911389602,0.482109515
0.91120801,0.481603141
0.911025325,0.481102545
0.91084165,0.480596435
0.91065808,0.480087985
0.910473644,0.479567425
0.910288576,0.479058407
0.910104623,0.478556156
0.90991999,0.478057161
0.909733731,0.477549072
0.909547414,0.477032591
0.909363619,0.47653475
0.909176837,0.47602337
0.908991384,0.475517492
0.908805207,0.475009694
0.908617445,0.474505102
0.908431454,0.47398504
0.90824394,0.473473311
0.908055132,0.472963017
0.907866204,0.472452287
0.907677319,0.471947367
0.907488572,0.471430907
0.907299967,0.470930034
0.907111084,0.470420318
0.906920823,0.469909655
0.90672995,0.469397987
0.906538334,0.468898261
0.906347793,0.468397323
0.906157765,0.467893128
0.905964152,0.467381045
0.905772411,0.466869377
0.90558092,0.466368731
0.905388703,0.46587043
0.905195679,0.465345821
0.905002819,0.464843341
0.904810115,0.464335105
0.904616115,0.463838643
0.9044209,0.463329584
0.904225587,0.462825579
0.904031147,0.462320437
0.903836074,0.461820629
0.903640631,0.461323515
0.903442954,0.460819183
0.903247336,0.460321764
0.903050682,0.459818033
0.902853173,0.459313212
0.902655897,0.458810117
0.902457193,0.458300534
0.902259634,0.457797852
0.902060216,0.457292532
0.901859596,0.456792364
0.901660804,0.456292546
0.901461574,0.455789582
0.901261421,0.455285211
0.901060528,0.454773
0.900860423,0.454270757
0.900659675,0.453770825
0.900458037,0.453277909
0.900254985,0.452760543
0.900051829,0.452247681
0.89984832,0.451740026
0.899645468,0.451227115
0.899442047,0.450725189
0.899238565,0.450218284
0.899034516,0.449722976
0.898828775,0.449219889
0.898623475,0.448714601
0.898417493,0.448211195
0.898212568,0.447713254
0.89800747,0.447212972
0.897800435,0.446711369
0.897593341,0.446203177
0.897386431,0.445700428
0.897178404,0.445192346
0.896970586,0.444684956
0.896762004,0.444182368
0.896552965,0.443685355
0.896344259,0.443185865
0.896134199,0.44268548
0.895923194,0.442182139
0.895712626,0.441690313
0.895501449,0.441184266
0.895290551,0.440686259
0.895078951,0.440193005
0.894865527,0.439687546
0.894654832,0.439187517
0.894442367,0.438689488
0.894229836,0.438185881
0.89401653,0.437691262
0.893802493,0.437186673
0.893588142,0.436667961
0.893374391,0.436175048
0.893160262,0.43568187
0.892944757,0.435171453
0.89272982,0.434678158
0.892514015,0.434174795
0.89229759,0.433673554
0.892081218,0.433184033
0.891864503,0.432685719
0.891646312,0.432174987
0.891429084,0.431676353
0.891211931,0.431188066
0.890993638,0.430690813
0.890773766,0.430187247
0.89055419,0.429687077
0.890334711,0.429193798
0.890115152,0.428707003
0.889895268,0.428212707
0.889674088,0.427716181
0.889453947,0.42722278
0.8892338,0.426726984
0.889012255,0.426231163
0.88879034,0.425735684
0.888567828,0.425234163
0.888345035,0.424745895
0.888121176,0.424250515
0.887897816,0.42375963
0.887672432,0.423264477
0.887445842,0.42276101
0.887221464,0.422271056
0.886995604,0.421773311
0.886770668,0.421292195
0.886546254,0.420796654
0.886318752,0.420305922
0.886090722,0.419811455
0.885862381,0.419306978
0.885636182,0.418814646
0.885407974,0.418320378
0.885178013,0.417826515
0.884949342,0.417335549
0.884717278,0.416837404
0.88448806,0.416352306
0.884258066,0.415859599
0.884027995,0.415369814
0.883796873,0.414877958
0.883567452,0.414383793
0.883335243,0.413892905
0.883104161,0.413395939
0.882872569,0.412908859
0.882639377,0.412422488
0.882407327,0.411937389
0.882174,0.411446873
0.881940082,0.410961681
0.881705501,0.41047183
0.881471175,0.409987934
0.881235402,0.409500547
0.88099881,0.409010933
0.880762996,0.408505829
0.880526502,0.408013339
0.880289926,0.407528909
0.880051801,0.407035232
0.879812668,0.406537879
0.879575109,0.406046686
0.879337769,0.405561444
0.879098011,0.405071568
0.878858833,0.404597286
0.878619228,0.40411135
0.878380325,0.403631714
0.878140237,0.40314999
0.877898756,0.40266838
0.877655664,0.402190575
0.877414105,0.401708628
0.877172496,0.401226844
0.876930515,0.400742248
0.876687845,0.400254729
0.876444196,0.399770162
0.876201226,0.399288761
0.875956583,0.398808151
0.875712353,0.398314862
0.875467731,0.397825231
0.875222883,0.397347766
0.874977843,0.396869677
0.874731059,0.396385144
0.874484348,0.395901996
0.874235541,0.395415558
0.873986631,0.394926222
0.873740568,0.394446685
0.873492121,0.393970714
0.873244262,0.393488711
0.872994209,0.393006823
0.872743516,0.392525317
0.87249161,0.392036361
0.872241912,0.39155019
0.871990044,0.391058754
0.871738003,0.39058072
0.871486315,0.390104432
0.871234313,0.389620653
0.870981615,0.389142388
0.870728553,0.388652934
0.870475029,0.388174075
0.870221105,0.387690991
0.869965139,0.387211978
0.869711322,0.386730783
0.86945582,0.386253234
0.869199419,0.385766538
0.868943534,0.385292815
0.868687626,0.384827746
0.868429765,0.384353281
0.868171624,0.383873175
0.867913422,0.383394742
0.867654728,0.382923334
0.867396637,0.382446712
0.867137945,0.381963081
0.866876963,0.381480417
0.866615037,0.381012977
0.866353855,0.380535733
0.866092362,0.380057375
0.865831832,0.379587128
0.865569859,0.379111251
0.865307673,0.378635623
0.865045,0.37816493
0.864782372,0.377696187
0.864518946,0.377221619
0.864255537,0.376755291
0.863991996,0.376275735
0.863728539,0.375796321
0.863461602,0.375325867
0.86319701,0.374850057
0.862930795,0.374374403
0.862664913,0.373911581
0.8623975,0.373440137
0.862130775,0.372965113
0.861863784,0.372496742
0.861596039,0.37203246
0.861325842,0.371562544
0.861056771,0.371093553
0.860786644,0.370618029
0.86051737,0.370154809
0.860246646,0.369686029
0.859975814,0.369221341
0.859705495,0.368750579
0.859436141,0.36828767
0.859164713,0.367820229
0.858891383,0.367346581
0.858620061,0.366889068
0.858345972,0.366422318
0.858070635,0.365952599
0.857796472,0.365493955
0.857521235,0.365025878
0.857246457,0.364562564
0.856969664,0.364081283
0.856694843,0.363613854
0.856420227,0.363146443
0.856145453,0.362679214
0.855867173,0.362211215
0.855590188,0.361748061
0.855311953,0.361284876
0.855033485,0.360818002
0.854754809,0.360354613
0.854472792,0.359876933
0.854192041,0.359413514
0.853913375,0.358952886
0.853632739,0.358493689
0.853351637,0.358036995
0.853069715,0.357583755
0.852786567,0.357122702
0.852503357,0.356661874
0.852220717,0.356207359
0.851937132,0.355746955
0.851652239,0.355279804
0.851368861,0.354820226
0.851082762,0.354370356
0.850797676,0.353912144
0.850514331,0.353446424
0.850228355,0.352989619
0.849942856,0.352539947
0.849655522,0.352082525
0.849367179,0.351616388
0.849078837,0.351144055
0.848791453,0.350688853
0.848502585,0.350230298
0.848211326,0.349775146
0.847920663,0.349313701
0.847629974,0.348859825
0.847338438,0.34840288
0.847047482,0.347946011
0.846755505,0.347485598
0.84646574,0.347024223
0.846173113,0.346569998
0.845879296,0.346109063
0.845585028,0.345649691
0.845292219,0.34519558
0.844996638,0.344738881
0.844701813,0.344282385
0.84440653,0.343823686
0.844111812,0.343371466
0.843815938,0.342914137
0.843518775,0.34245861
0.843222291,0.342008521
0.842924657,0.341549741
0.842627411,0.341104723
0.842330244,0.340651355
0.842030439,0.34020022
0.841731184,0.339752201
0.841429853,0.339290498
0.841130314,0.338843161
0.840830714,0.338394092
0.840529223,0.33794584
0.840226419,0.33749765
0.839923812,0.337047675
0.839620808,0.336598036
0.839316214,0.336142877
0.839012234,0.335696141
0.838707362,0.335238538
0.838402442,0.334794297
0.838097357,0.334343482
0.83779252,0.333897643
0.837486572,0.333447606
0.837181692,0.333008358
0.836875304,0.332565141
0.836567255,0.332115992
0.836257903,0.331657789
0.835948767,0.331216826
0.83563999,0.330768084
0.835330873,0.330327625
0.835021211,0.329892022
0.834711302,0.329449612
0.834399821,0.329015731
0.834089662,0.328580489
0.833778006,0.328136538
0.833467306,0.327694942
0.833153402,0.327247049
0.832839286,0.326799041
0.832524306,0.326350849
0.832209807,0.325906589
0.83189512,0.325448784
0.831580804,0.325006427
0.831263746,0.324562616
0.830948164,0.324125671
0.830633054,0.323691073
0.830314981,0.323258119
0.829997018,0.322820082
0.829681368,0.322374147
0.829364228,0.321940334
0.829044374,0.321504826
0.828725595,0.321059286
0.828407849,0.320625832
0.828087255,0.320188958
0.827768549,0.319754005
0.827447459,0.319318656
0.827126152,0.318885981
0.826805172,0.318450832
0.826482387,0.318018885
0.826159534,0.317581462
0.825837154,0.317151754
0.82551235,0.316711773
0.825189364,0.316276637
0.824864813,0.315842079
0.824538936,0.315399744
0.824213742,0.314970175
0.82388666,0.314533967
0.823559758,0.314085774
0.823232218,0.313659083
0.822903922,0.313228946
0.822574624,0.312792912
0.822246243,0.312358597
0.821918736,0.311926416
0.821587817,0.311494499
0.821258748,0.311066371
0.82092841,0.310633557
0.820597438,0.310195419
0.820265476,0.309762926
0.819934112,0.309332718
0.819602307,0.308911487
0.81927054,0.30848288
0.818938103,0.308052904
0.818604483,0.307620509
0.818268076,0.307193156
0.817933333,0.306761865
0.817597837,0.306333315
0.81726147,0.305909276
0.816925221,0.305476767
0.816589002,0.305050164
0.816251808,0.304627366
0.815915789,0.304202683
0.815575263,0.303779441
0.815235095,0.303351031
0.814895319,0.302926798
0.81455407,0.302506606
0.814213942,0.302081729
0.813872408,0.30165372
0.813530002,0.301227135
0.813187782,0.300810481
0.812846559,0.300391923
0.812503339,0.299966325
0.812159984,0.299551008
0.811816817,0.299131621
0.811471907,0.29870455
0.811126414,0.298271438
0.81077924,0.297848431
0.810433324,0.297433736
0.810086548,0.297012725
0.809741532,0.296600592
0.809393273,0.296172624
0.809046081,0.295751875
0.808697202,0.295321312
0.80834847,0.294899194
0.807997116,0.294481377
0.807647304,0.294065105
0.807298064,0.293653824
0.806946183,0.29323925
0.806595938,0.292827433
0.806244332,0.292416785
0.805891238,0.292002981
0.805536723,0.291582858
0.805184637,0.291161007
0.8048311,0.290741545
0.804478133,0.290326314
0.804124344,0.289920947
0.803769982,0.289511725
0.803414897,0.289095893
0.803058747,0.288680709
0.802702186,0.288271223
0.802345143,0.287859467
0.801988777,0.287445151
0.801631428,0.287039916
0.801273797,0.286628903
0.800915553,0.286225045
0.800555559,0.285811841
0.800195582,0.285397643
0.79983586,0.284999572
0.799474592,0.284591375
0.79911484,0.284181959
0.798751686,0.283766947
0.798389951,0.283365762
0.798028643,0.282964644
0.797668331,0.282558495
0.797304982,0.282148603
0.796940883,0.281746371
0.796576619,0.281339035
0.796212357,0.280929832
0.795846305,0.280525933
0.795480682,0.280122791
0.795114202,0.279725295
0.794747275,0.279311231
0.794379832,0.278916667
0.794012484,0.27850645
0.793646361,0.278106658
0.793278743,0.27770783
0.792909014,0.27731251
0.79253978,0.276907592
0.792169883,0.276506046
0.791798516,0.276108586
0.791427101,0.275701575
0.791056059,0.275304424
0.790684229,0.274897573
0.790311479,0.274492522
0.78993828,0.274093239
0.789563477,0.273696319
0.789191254,0.273291426
0.78881618,0.272895019
0.788440431,0.272498104
0.788065294,0.272101605
0.787689908,0.271708891
0.787314436,0.271315784
0.786937298,0.27091941
0.786560919,0.270519701
0.786182441,0.270119572
0.785803968,0.269720795
0.785425427,0.269331896
0.785046114,0.268934428
0.784667804,0.268542056
0.784286852,0.268147418
0.783905958,0.267748478
0.783524241,0.267352611
0.783143802,0.266963075
0.782762288,0.266572067
0.782380743,0.266177544
0.781998789,0.265783899
0.781613895,0.265389439
0.781229179,0.26500272
0.780844741,0.264612385
0.780461103,0.264223767
0.780075387,0.263834162
0.779690526,0.263443778
0.779304632,0.263047801
0.778918969,0.262664728
0.778529441,0.262272303
0.778140896,0.261884879
0.777752753,0.261493781
0.777364126,0.261102865
0.776973912,0.260714214
0.776585277,0.260330764
0.776195269,0.259942851
0.775805448,0.259548127
0.775414395,0.259159663
0.77502205,0.258778918
0.774630789,0.25839913
0.774237807,0.258019757
0.773844207,0.25763634
0.773450142,0.257250478
0.773055827,0.256855691
0.772660737,0.256468917
0.772265291,0.256078836
0.771870746,0.255695815
0.771473924,0.255308701
0.771077158,0.254930107
0.77068152,0.254556066
0.770282338,0.254173487
0.769885711,0.253800717
0.769485111,0.253415637
0.769085676,0.253028432
0.768687006,0.252645756
0.768286749,0.252263646
0.767886313,0.251881547
0.767484527,0.251504768
0.767084477,0.251135365
0.766684174,0.250766372
0.76628032,0.250390801
0.765876725,0.250014624
0.765472843,0.249637604
0.765069619,0.249261951
0.764665212,0.248889683
0.76426114,0.248516046
0.76385626,0.248147116
0.763452961,0.247779231
0.763046253,0.247410861
0.762639532,0.247037685
0.762231713,0.246663143
0.761823537,0.246284155
0.761414835,0.245911864
0.761005583,0.245543277
0.760596882,0.245172029
0.760188543,0.244806977
0.759778721,0.244436439
0.759369011,0.244067373
0.758957783,0.243699583
0.758546926,0.243333775
0.758133594,0.242964992
0.757723029,0.24260357
0.757311481,0.242240216
0.756896845,0.241874909
0.756483123,0.241512686
0.756068314,0.241140579
0.755656031,0.24077949
0.755241897,0.240414007
0.754827955,0.240047369
0.754412796,0.239681315
0.753998491,0.239317755
0.753581584,0.238955216
0.753165826,0.238592273
0.752749061,0.238228282
0.75232995,0.237867394
0.751911624,0.237514158
0.751492512,0.237149486
0.751073178,0.236785542
0.750653562,0.236420649
0.750234568,0.236067811
0.749814524,0.235705647
0.749393229,0.235342946
0.74897323,0.234986329
0.748552173,0.234629511
0.748131338,0.234272135
0.74770869,0.233921238
0.747285282,0.23355933
0.746861984,0.233201961
0.746437538,0.232849726
0.746012201,0.232497666
0.745589395,0.232149668
0.745163406,0.231795788
0.744735091,0.231438396
0.744308058,0.231084073
0.743882214,0.230720698
0.743454556,0.230371904
0.743028009,0.230019433
0.742600306,0.229672472
0.742170923,0.229321216
0.741742075,0.228975899
0.741314272,0.228625181
0.740882365,0.228275559
0.740453447,0.227925733
0.74002158,0.227568118
0.739588825,0.227217631
0.73915707,0.226866294
0.73872438,0.2265086
0.738292438,0.22616385
0.737859933,0.225822272
0.737425312,0.225475451
0.73699206,0.225129011
0.736557882,0.224788145
0.736122175,0.224442141
0.735687912,0.224101336
0.735252649,0.223758623
0.734816745,0.223414304
0.734380381,0.223073778
0.733943506,0.22272836
0.733505609,0.222382075
0.733067439,0.222044542
0.732630059,0.221704267
0.732190281,0.221340243
0.731751589,0.220997933
0.731312013,0.220657036
0.730872082,0.220307029
0.730431727,0.219958474
0.729990548,0.219623999
0.729549099,0.219283636
0.729108483,0.218949428
0.728666039,0.218610828
0.728223402,0.21827257
0.72778076,0.217938643
0.727339281,0.217592526
0.726896289,0.217258427
0.726452664,0.216921126
0.726009879,0.21658783
0.725565819,0.216255879
0.725120746,0.215917889
0.724675178,0.215585775
0.724229205,0.215249187
0.723782341,0.21490909
0.723334742,0.214568997
0.722884992,0.214236668
0.722437835,0.213907733
0.72198863,0.213577542
0.721539901,0.213249492
0.721092352,0.212922107
0.720641571,0.212585201
0.720194062,0.212255635
0.719743977,0.211928392
0.719293876,0.21160422
0.718841633,0.211272729
0.718390569,0.210944194
0.717941059,0.210617809
0.717487377,0.21029077
0.717034428,0.209959857
0.716583708,0.20962708
0.716128873,0.209302376
0.715675239,0.208982244
0.71521866,0.208652749
0.71476355,0.208323736
0.714309538,0.208000142
0.713853955,0.207673837
0.713398665,0.207348389
0.712943971,0.207024827
0.712485702,0.206700083
0.712028063,0.206382639
0.711570474,0.206062064
0.711114464,0.205744795
0.710656165,0.205420516
0.710198739,0.205099642
0.709739387,0.204781014
0.709279034,0.204459021
0.708818594,0.20414357
0.708354908,0.203814268
0.707893495,0.203500717
0.707433956,0.20318171
0.706973268,0.202860965
0.706512786,0.202543179
0.706049822,0.202225953
0.705587396,0.201908101
0.70512479,0.201594805
0.704661354,0.201276415
0.704195497,0.200959028
0.703732821,0.200643325
0.703267564,0.200328446
0.702800806,0.200006059
0.702334406,0.199694692
0.701869241,0.199378031
0.701403336,0.199065073
0.700939685,0.198749166
0.700473807,0.198440014
0.700008225,0.198129427
0.69954132,0.197820718
0.699073782,0.197512438
0.6986046,0.197202404
0.698136077,0.196894123
0.697668991,0.196581204
0.697199968,0.196263774
0.696731014,0.195959954
0.69626141,0.1956497
0.695793389,0.195340976
0.695323312,0.195037627
0.694853573,0.194729088
0.694384066,0.194421324
0.693911836,0.19411784
0.693440536,0.19381343
0.692968726,0.193507666
0.692495005,0.193201641
0.692023318,0.192893899
0.691548611,0.192588634
0.691075919,0.192286508
0.690602948,0.191987629
0.69013046,0.191682125
0.689656924,0.191384034
0.689183551,0.191078421
0.688707984,0.190776445
0.688230787,0.190482628
0.687754187,0.19018412
0.687276882,0.189886647
0.686798832,0.189586521
0.686323227,0.189289173
0.685844982,0.188990276
0.685366336,0.188693757
0.684887876,0.188393063
0.684409588,0.188096205
0.683931285,0.187795042
0.683451946,0.187494899
