prevalence,pop_auroc,auprc
0.01,0.5,0.01
0.01,0.50005,0.010001582
0.01,0.5001,0.010003164
0.01,0.50015,0.010004747
0.01,0.5002,0.01000633
0.01,0.50025,0.010007914
0.01,0.5003,0.010009499
0.01,0.50035,0.010011084
0.01,0.5004,0.010012669
0.01,0.50045,0.010014256
0.01,0.5005,0.010015842
0.01,0.50055,0.01001743
0.01,0.5006,0.010019017
0.01,0.50065,0.010020606
0.01,0.5007,0.010022195
0.01,0.50075,0.010023784
0.01,0.5008,0.010025374
0.01,0.50085,0.010026965
0.01,0.5009,0.010028556
0.01,0.50095,0.010030147
0.01,0.501,0.010031739
0.01,0.50105,0.010033332
0.01,0.5011,0.010034925
0.01,0.50115,0.010036519
0.01,0.5012,0.010038114
0.01,0.50125,0.010039709
0.01,0.5013,0.010041304
0.01,0.50135,0.0100429
0.01,0.5014,0.010044497
0.01,0.50145,0.010046094
0.01,0.5015,0.010047692
0.01,0.50155,0.01004929
0.01,0.5016,0.010050889
0.01,0.50165,0.010052488
0.01,0.5017,0.010054088
0.01,0.50175,0.010055688
0.01,0.5018,0.010057289
0.01,0.50185,0.010058891
0.01,0.5019,0.010060493
0.01,0.50195,0.010062096
0.01,0.502,0.010063699
0.01,0.50205,0.010065303
0.01,0.5021,0.010066907
0.01,0.50215,0.010068512
0.01,0.5022,0.010070118
0.01,0.50225,0.010071724
0.01,0.5023,0.01007333
0.01,0.50235,0.010074937
0.01,0.5024,0.010076545
0.01,0.50245,0.010078153
0.01,0.5025,0.010079762
0.01,0.50255,0.010081372
0.01,0.5026,0.010082982
0.01,0.50265,0.010084592
0.01,0.5027,0.010086203
0.01,0.50275,0.010087815
0.01,0.5028,0.010089427
0.01,0.50285,0.01009104
0.01,0.5029,0.010092653
0.01,0.50295,0.010094267
0.01,0.503,0.010095881
0.01,0.50305,0.010097496
0.01,0.5031,0.010099112
0.01,0.50315,0.010100728
0.01,0.5032,0.010102344
0.01,0.50325,0.010103962
0.01,0.5033,0.010105579
0.01,0.50335,0.010107198
0.01,0.5034,0.010108817
0.01,0.50345,0.010110436
0.01,0.5035,0.010112056
0.01,0.50355,0.010113677
0.01,0.5036,0.010115298
0.01,0.50365,0.01011692
0.01,0.5037,0.010118542
0.01,0.50375,0.010120165
0.01,0.5038,0.010121788
0.01,0.50385,0.010123412
0.01,0.5039,0.010125037
0.01,0.50395,0.010126662
0.01,0.504,0.010128287
0.01,0.50405,0.010129914
0.01,0.5041,0.010131541
0.01,0.50415,0.010133168
0.01,0.5042,0.010134796
0.01,0.50425,0.010136424
0.01,0.5043,0.010138053
0.01,0.50435,0.010139683
0.01,0.5044,0.010141313
0.01,0.50445,0.010142944
0.01,0.5045,0.010144575
0.01,0.50455,0.010146207
0.01,0.5046,0.01014784
0.01,0.50465,0.010149473
0.01,0.5047,0.010151106
0.01,0.50475,0.010152741
0.01,0.5048,0.010154375
0.01,0.50485,0.010156011
0.01,0.5049,0.010157647
0.01,0.50495,0.010159283
0.01,0.505,0.01016092
0.01,0.50505,0.010162558
0.01,0.5051,0.010164196
0.01,0.50515,0.010165835
0.01,0.5052,0.010167474
0.01,0.50525,0.010169114
0.01,0.5053,0.010170754
0.01,0.50535,0.010172395
0.01,0.5054,0.010174037
0.01,0.50545,0.010175679
0.01,0.5055,0.010177322
0.01,0.50555,0.010178965
0.01,0.5056,0.010180609
0.01,0.50565,0.010182253
0.01,0.5057,0.010183899
0.01,0.50575,0.010185544
0.01,0.5058,0.01018719
0.01,0.50585,0.010188837
0.01,0.5059,0.010190484
0.01,0.50595,0.010192132
0.01,0.506,0.010193781
0.01,0.50605,0.01019543
0.01,0.5061,0.01019708
0.01,0.50615,0.01019873
0.01,0.5062,0.010200381
0.01,0.50625,0.010202032
0.01,0.5063,0.010203684
0.01,0.50635,0.010205336
0.01,0.5064,0.01020699
0.01,0.50645,0.010208643
0.01,0.5065,0.010210298
0.01,0.50655,0.010211952
0.01,0.5066,0.010213608
0.01,0.50665,0.010215264
0.01,0.5067,0.01021692
0.01,0.50675,0.010218578
0.01,0.5068,0.010220235
0.01,0.50685,0.010221894
0.01,0.5069,0.010223553
0.01,0.50695,0.010225212
0.01,0.507,0.010226872
0.01,0.50705,0.010228533
0.01,0.5071,0.010230194
0.01,0.50715,0.010231856
0.01,0.5072,0.010233518
0.01,0.50725,0.010235181
0.01,0.5073,0.010236845
0.01,0.50735,0.010238509
0.01,0.5074,0.010240174
0.01,0.50745,0.010241839
0.01,0.5075,0.010243505
0.01,0.50755,0.010245171
0.01,0.5076,0.010246838
0.01,0.50765,0.010248506
0.01,0.5077,0.010250174
0.01,0.50775,0.010251843
0.01,0.5078,0.010253512
0.01,0.50785,0.010255182
0.01,0.5079,0.010256853
0.01,0.50795,0.010258524
0.01,0.508,0.010260196
0.01,0.50805,0.010261868
0.01,0.5081,0.010263541
0.01,0.50815,0.010265214
0.01,0.5082,0.010266889
0.01,0.50825,0.010268563
0.01,0.5083,0.010270238
0.01,0.50835,0.010271914
0.01,0.5084,0.010273591
0.01,0.50845,0.010275268
0.01,0.5085,0.010276945
0.01,0.50855,0.010278624
0.01,0.5086,0.010280302
0.01,0.50865,0.010281982
0.01,0.5087,0.010283662
0.01,0.50875,0.010285342
0.01,0.5088,0.010287023
0.01,0.50885,0.010288705
0.01,0.5089,0.010290387
0.01,0.50895,0.01029207
0.01,0.509,0.010293754
0.01,0.50905,0.010295438
0.01,0.5091,0.010297123
0.01,0.50915,0.010298808
0.01,0.5092,0.010300494
0.01,0.50925,0.01030218
0.01,0.5093,0.010303867
0.01,0.50935,0.010305555
0.01,0.5094,0.010307243
0.01,0.50945,0.010308932
0.01,0.5095,0.010310622
0.01,0.50955,0.010312312
0.01,0.5096,0.010314002
0.01,0.50965,0.010315693
0.01,0.5097,0.010317385
0.01,0.50975,0.010319078
0.01,0.5098,0.010320771
0.01,0.50985,0.010322464
0.01,0.5099,0.010324158
0.01,0.50995,0.010325853
0.01,0.51,0.010327549
0.01,0.51005,0.010329245
0.01,0.5101,0.010330941
0.01,0.51015,0.010332638
0.01,0.5102,0.010334336
0.01,0.51025,0.010336035
0.01,0.5103,0.010337734
0.01,0.51035,0.010339433
0.01,0.5104,0.010341133
0.01,0.51045,0.010342834
0.01,0.5105,0.010344535
0.01,0.51055,0.010346237
0.01,0.5106,0.01034794
0.01,0.51065,0.010349643
0.01,0.5107,0.010351347
0.01,0.51075,0.010353051
0.01,0.5108,0.010354756
