sim,auroc,auprc
1,0.650829772,0.170003952
2,0.644290668,0.163857955
3,0.644645686,0.165568675
4,0.648760447,0.169947252
5,0.647924515,0.167017255
6,0.642340317,0.164826966
7,0.652077767,0.169789543
8,0.64978734,0.17371609
9,0.646868145,0.163223637
10,0.644141001,0.167063275
11,0.648448274,0.168434976
12,0.651737886,0.16688863
13,0.645508812,0.168030838
14,0.65394931,0.175978363
15,0.648135953,0.168606799
16,0.650433278,0.165242004
17,0.646162964,0.1634089
18,0.639564742,0.162456132
19,0.639160242,0.161500394
20,0.646863385,0.163441241
21,0.642776824,0.165402133
22,0.640348988,0.161985242
23,0.637929775,0.1599885
24,0.647135387,0.167589331
25,0.645278216,0.166340343
26,0.648346726,0.16756405
27,0.640400471,0.161085466
28,0.643757668,0.165935614
29,0.645809132,0.164846003
30,0.642896875,0.165751932
31,0.646755871,0.168728279
32,0.642729025,0.164615496
33,0.643973418,0.161273606
34,0.649900543,0.166049885
35,0.650212679,0.166295074
36,0.647399344,0.162191359
37,0.648271627,0.167208528
38,0.647891298,0.163495962
39,0.644950456,0.165275036
40,0.645848495,0.166404046
41,0.652539127,0.173404579
42,0.644817723,0.165428786
43,0.645164262,0.165361359
44,0.643375744,0.167010973
45,0.644927038,0.167541109
46,0.648979723,0.164338683
47,0.650419517,0.171614641
48,0.640721053,0.159301831
49,0.645778561,0.166353538
50,0.643184095,0.164226812
51,0.640617589,0.162837348
52,0.646229387,0.164358057
53,0.647515669,0.168189865
54,0.646753791,0.165763744
55,0.638776089,0.161355032
56,0.644059697,0.163577245
57,0.640381617,0.164723715
58,0.641104851,0.164517181
59,0.643491306,0.164587743
60,0.649368361,0.168581741
61,0.648810017,0.170505068
62,0.649047681,0.168446769
63,0.647707678,0.169329651
64,0.640545371,0.161701184
65,0.642492676,0.162719081
66,0.645648478,0.163801654
67,0.640088348,0.163952521
68,0.651028824,0.170702088
69,0.652447003,0.171099099
70,0.642314626,0.164429227
71,0.641201402,0.163545585
72,0.643348654,0.163672515
73,0.648700277,0.167577258
74,0.649473346,0.165050699
75,0.644201168,0.169346982
76,0.649236361,0.170289433
77,0.64286911,0.162927562
78,0.652314626,0.170551464
79,0.648033515,0.167032406
80,0.644795256,0.165578913
81,0.647692766,0.164465056
82,0.649647252,0.169757732
83,0.644456368,0.167908079
84,0.64271846,0.163182179
85,0.648914254,0.165057869
86,0.644152684,0.161735532
87,0.64468891,0.164745306
88,0.651360403,0.170597451
89,0.643949047,0.164234567
90,0.644743677,0.167790167
91,0.647947969,0.163443144
92,0.646794216,0.168937432
93,0.646493521,0.167866016
94,0.647022131,0.169350821
95,0.646671211,0.167621618
96,0.650557927,0.165499185
97,0.647151039,0.165569238
98,0.644858774,0.164206403
99,0.647324022,0.165980602
100,0.640438836,0.163415886
101,0.647543491,0.172337582
102,0.64661397,0.164818608
103,0.640521848,0.164076103
104,0.647942754,0.16541839
105,0.641458742,0.163405024
106,0.647043756,0.163741419
107,0.64664711,0.16611702
108,0.642676001,0.165906266
109,0.649120762,0.167490264
110,0.642182981,0.167223232
111,0.64777474,0.16889486
112,0.648578465,0.170472169
113,0.65077661,0.168733361
114,0.643670969,0.167586806
115,0.647908811,0.16535706
116,0.645862862,0.169676526
117,0.644045603,0.165812492
118,0.647786553,0.168580316
119,0.649409927,0.169163119
120,0.643221021,0.162673937
121,0.645529341,0.168637473
122,0.65043153,0.168665535
123,0.64207448,0.163516332
124,0.648482527,0.167735569
125,0.651031985,0.167902229
126,0.643329443,0.166095529
127,0.646799771,0.170542356
128,0.64103742,0.162447487
129,0.645741499,0.166710541
130,0.64086576,0.160506536
131,0.63653645,0.156600173
132,0.65222433,0.168026133
133,0.646159425,0.164324779
134,0.641459533,0.163737527
135,0.646076318,0.16804675
136,0.64484913,0.167859388
137,0.647196623,0.164663602
138,0.643967855,0.162978427
139,0.643636734,0.167940757
140,0.653042836,0.169098626
141,0.647090845,0.169758467
142,0.641210503,0.162249969
143,0.639335148,0.164591301
144,0.643451083,0.162550245
145,0.641924645,0.166187355
146,0.647385465,0.16628481
147,0.648376609,0.166957474
