iter,top_agree,roc_params,roc_est,roc_roc,roc_prc,prc_params,prc_est,prc_roc,prc_prc
1,TRUE,"0.01, 64",0.6510539051485367,0.6288783695597917,0.15582677686008095,"0.01, 64",0.1852787842856756,0.6288783695597917,0.15582677686008095
2,TRUE,"0.02, 54",0.6246012858842704,0.6288169756103571,0.15597846339606955,"0.02, 54",0.15216629176085547,0.6288169756103571,0.15597846339606955
3,TRUE,"0.02, 136",0.6240498355148036,0.6192689606648719,0.14589557021994007,"0.02, 136",0.13809314983583057,0.6192689606648719,0.14589557021994007
4,TRUE,"0.09, 129",0.605449509544141,0.6100397210747751,0.14688454492648084,"0.09, 129",0.14233939093661296,0.6100397210747751,0.14688454492648084
5,TRUE,"0.21, 40",0.6287373371635246,0.6135373347420101,0.14794055461946432,"0.21, 40",0.14328848174627928,0.6135373347420101,0.14794055461946432
6,FALSE,"0.02, 33",0.6090234212463592,0.6224815780003666,0.14617236924568308,"0.15, 95",0.13580606339618986,0.6077149507138115,0.14545178026506667
7,TRUE,"0.02, 28",0.6318130261178504,0.6226108527311355,0.14886812729886398,"0.02, 28",0.16321310187677296,0.6226108527311355,0.14886812729886398
8,TRUE,"0.09, 45",0.61128148466638,0.6245484953461573,0.14965558298599588,"0.09, 45",0.15501788570338199,0.6245484953461573,0.14965558298599588
9,FALSE,"0.03, 89",0.6098105975738566,0.6295142050658463,0.15295710331453855,"0.15, 31",0.1447062782467871,0.6227716542227024,0.14913632603327098
10,TRUE,"0.02, 135",0.6199402053815156,0.6220266575504354,0.1532855341394754,"0.02, 135",0.16135391880034922,0.6220266575504354,0.1532855341394754
11,FALSE,"0.03, 81",0.6370551650351468,0.6325762469147682,0.15465017399267814,"0.04, 73",0.14813901727966175,0.6317505792519899,0.15485474713444825
12,TRUE,"0.13, 42",0.623206911377976,0.6255621352867385,0.15249567781332027,"0.13, 42",0.15154475047338628,0.6255621352867385,0.15249567781332027
13,TRUE,"0.09, 82",0.6359643095380202,0.6178309306430085,0.15095131986663454,"0.09, 82",0.14131223795492842,0.6178309306430085,0.15095131986663454
14,FALSE,"0.06, 79",0.6171335282699957,0.622217641154335,0.1502243109310386,"0.22, 102",0.14911098953610913,0.5906535675870194,0.135603597909861
15,FALSE,"0.13, 29",0.6290563849253568,0.6191023073647175,0.1486889289007578,"0.11, 119",0.15671801840846378,0.6081717511849094,0.14060942811489624
16,TRUE,"0.1, 144",0.6121859032687058,0.6136972567631679,0.1432641096119433,"0.1, 144",0.12949328939313212,0.6136972567631679,0.1432641096119433
17,FALSE,"0.21, 79",0.6126628603425692,0.5975457154953611,0.1318163363691991,"0.11, 31",0.13377044020194973,0.6206560543915997,0.1461289175526817
18,TRUE,"0.07, 45",0.6281954624083832,0.633565432436396,0.15751083535978336,"0.07, 45",0.16550178958782322,0.633565432436396,0.15751083535978336
19,TRUE,"0.01, 82",0.63956543911048,0.627788519296139,0.1534504208123355,"0.01, 82",0.16263433758992032,0.627788519296139,0.1534504208123355
20,FALSE,"0.03, 117",0.6319576238138568,0.6256255890265985,0.14818653937171467,"0.21, 108",0.16527956658162388,0.599113443296378,0.1411587055082415
21,TRUE,"0.04, 101",0.6370206681398675,0.6220519597465749,0.15656383446423586,"0.04, 101",0.14809673943014243,0.6220519597465749,0.15656383446423586
22,FALSE,"0.06, 58",0.6176360836789865,0.6256385302240641,0.15057246838973334,"0.12, 69",0.14790371792058815,0.6125737220738044,0.14754771659361682
23,FALSE,"0.06, 49",0.6062829345358918,0.6278757388369899,0.15631405768680257,"0.06, 113",0.14449760199472017,0.624919527090545,0.15739388342319957
24,TRUE,"0.07, 66",0.6215110640042396,0.6229532980537027,0.15298930659485024,"0.07, 66",0.1504272561160431,0.6229532980537027,0.15298930659485024
25,FALSE,"0.14, 100",0.6548990590846824,0.6116695758201953,0.14826945452798868,"0.08, 36",0.1676685293584377,0.6249449690627483,0.15629881087122952
26,TRUE,"0.04, 118",0.61611604955554,0.6236647142556268,0.15230663992959845,"0.04, 118",0.15208196179908956,0.6236647142556268,0.15230663992959845
27,FALSE,"0.04, 83",0.6239918407343339,0.6175573346321773,0.14853482570819257,"0.19, 48",0.1511020414874217,0.6115790600742288,0.14494736771365715
28,FALSE,"0.1, 142",0.6346561629805076,0.6107517577707344,0.1418375170209995,"0.03, 137",0.1539815286351715,0.6196458804307478,0.1449366898270465
29,TRUE,"0.13, 111",0.611532962033417,0.6126992075771681,0.1486328483890294,"0.13, 111",0.13428547017613096,0.6126992075771681,0.1486328483890294
30,TRUE,"0.03, 143",0.6317893881563439,0.6235897525459707,0.1510525795954657,"0.03, 143",0.18760189341002972,0.6235897525459707,0.1510525795954657
